element,time
1, 1274.000000
2, 789.000000
3, 745.000000
4, 743.000000
5, 746.000000
6, 743.000000
7, 739.000000
8, 753.000000
9, 747.000000
10, 746.000000
11, 748.000000
12, 750.000000
13, 749.000000
14, 747.000000
15, 739.000000
16, 776.000000
17, 747.000000
18, 745.000000
19, 740.000000
20, 737.000000
21, 744.000000
22, 739.000000
23, 732.000000
24, 750.000000
25, 746.000000
26, 748.000000
27, 743.000000
28, 771.000000
29, 747.000000
30, 741.000000
31, 738.000000
32, 741.000000
33, 739.000000
34, 740.000000
35, 745.000000
36, 747.000000
37, 736.000000
38, 746.000000
39, 750.000000
40, 743.000000
41, 743.000000
42, 749.000000
43, 744.000000
44, 751.000000
45, 743.000000
46, 734.000000
47, 730.000000
48, 741.000000
49, 749.000000
50, 747.000000
51, 743.000000
52, 746.000000
53, 740.000000
54, 745.000000
55, 764.000000
56, 843.000000
57, 740.000000
58, 745.000000
59, 739.000000
60, 746.000000
61, 740.000000
62, 745.000000
63, 745.000000
64, 748.000000
65, 744.000000
66, 745.000000
67, 739.000000
68, 744.000000
69, 753.000000
70, 753.000000
71, 740.000000
72, 748.000000
73, 765.000000
74, 740.000000
75, 747.000000
76, 747.000000
77, 742.000000
78, 743.000000
79, 745.000000
80, 742.000000
81, 743.000000
82, 739.000000
83, 741.000000
84, 749.000000
85, 752.000000
86, 741.000000
87, 747.000000
88, 750.000000
89, 740.000000
90, 742.000000
91, 736.000000
92, 748.000000
93, 739.000000
94, 740.000000
95, 759.000000
96, 743.000000
97, 742.000000
98, 745.000000
99, 743.000000
100, 742.000000
101, 735.000000
102, 745.000000
103, 742.000000
104, 740.000000
105, 744.000000
106, 742.000000
107, 739.000000
108, 740.000000
109, 747.000000
110, 741.000000
111, 743.000000
112, 745.000000
113, 742.000000
114, 742.000000
115, 747.000000
116, 744.000000
117, 743.000000
118, 735.000000
119, 743.000000
120, 748.000000
121, 769.000000
122, 745.000000
123, 743.000000
124, 748.000000
125, 744.000000
126, 744.000000
127, 753.000000
128, 763.000000
129, 747.000000
130, 747.000000
131, 737.000000
132, 759.000000
133, 741.000000
134, 748.000000
135, 744.000000
136, 747.000000
