element,time
2, 5.500165
4, 4.255018
8, 3.486554
16, 6.392746
32, 10.951556
64, 10.847144
128, 11.244780
256, 10.772481
2, 2.920596
4, 2.847813
8, 2.749858
16, 6.193229
32, 10.442841
64, 10.448682
128, 11.031224
256, 10.729920
2, 2.839738
4, 2.883057
8, 3.464879
16, 6.109688
32, 10.925012
64, 10.525448
128, 10.842038
256, 11.043331
2, 3.032697
4, 2.873452
8, 2.812169
16, 6.394595
32, 10.629549
64, 10.781173
128, 10.721113
256, 11.136920
2, 2.901515
4, 2.905662
8, 2.832635
16, 6.356984
32, 10.491468
64, 11.348263
128, 11.210865
256, 11.044287
2, 3.669301
4, 3.024994
8, 2.801185
16, 6.379351
32, 10.541227
64, 10.827251
128, 10.972636
256, 11.325932
2, 2.900108
4, 2.863862
8, 2.794252
16, 6.255992
32, 10.584602
64, 10.712313
128, 11.050610
256, 10.868282
2, 3.125870
4, 3.280406
8, 3.066868
16, 6.230259
32, 10.563549
64, 10.731840
128, 10.962512
256, 11.071117
2, 2.982940
4, 2.837068
8, 2.820180
16, 6.231334
32, 10.772806
64, 10.851111
128, 11.203469
256, 10.944594
2, 3.185220
4, 3.115545
8, 2.836978
16, 6.654942
32, 10.399428
64, 11.195652
128, 11.015537
256, 10.994227
2, 2.930600
4, 2.944142
8, 2.881117
16, 6.362000
32, 10.730538
64, 12.301048
128, 11.182270
256, 10.933679
2, 3.061153
4, 2.843809
8, 2.793604
16, 6.666941
32, 10.543049
64, 10.768491
128, 11.022583
256, 10.999881
2, 2.937158
4, 2.902534
8, 2.811034
16, 6.323789
32, 10.678228
64, 10.810235
128, 11.253014
256, 11.489985
2, 2.902874
4, 2.942324
8, 2.874160
16, 6.826148
32, 11.021743
64, 10.953009
128, 11.100126
256, 11.145723
2, 2.959888
4, 3.053608
8, 2.810965
16, 6.321573
32, 10.544924
64, 11.091178
128, 10.987757
256, 11.763987
2, 3.452434
4, 3.451442
8, 3.794810
16, 7.178589
32, 10.705093
64, 10.773793
128, 12.106994
256, 10.953415
2, 2.944704
4, 2.874134
8, 2.787256
16, 6.376273
32, 10.373434
64, 10.684645
128, 11.060724
256, 11.198303
2, 2.887119
4, 3.751482
8, 2.990576
16, 6.541133
32, 10.614926
64, 10.817989
128, 11.103226
256, 11.273834
2, 3.148010
4, 2.787279
8, 2.796939
16, 6.382577
32, 10.855806
64, 10.830011
128, 11.234406
256, 10.999100
2, 3.084010
4, 2.897816
8, 2.814345
16, 7.928132
32, 11.370894
64, 11.017639
128, 11.801548
256, 11.010345
