element,time
2, 1036.000000
4, 773.000000
8, 750.000000
16, 754.000000
32, 748.000000
64, 758.000000
128, 860.000000
256, 839.000000
512, 839.000000
1024, 921.000000
1025, 753.000000
1026, 750.000000
1027, 752.000000
1028, 752.000000
1029, 756.000000
1030, 752.000000
1031, 755.000000
1032, 746.000000
1033, 745.000000
1034, 747.000000
2048, 808.000000
2049, 747.000000
2050, 754.000000
2051, 750.000000
2052, 758.000000
2053, 753.000000
2054, 753.000000
2055, 756.000000
2056, 752.000000
2057, 750.000000
2058, 747.000000
4096, 794.000000
4097, 750.000000
4098, 750.000000
4099, 769.000000
4100, 748.000000
4101, 743.000000
4102, 754.000000
4103, 750.000000
4104, 751.000000
4105, 746.000000
4106, 750.000000
8192, 870.000000
8193, 751.000000
8194, 769.000000
8195, 754.000000
8196, 751.000000
8197, 746.000000
8198, 748.000000
8199, 753.000000
8200, 748.000000
8201, 750.000000
8202, 750.000000
